source_id,target_id,material,volume,lead_time_days,cost_per_unit
MINE-01,REF-01,lithium,200000,30,12.50
MINE-06,REF-01,lithium,250000,35,11.80
MINE-02,REF-02,cobalt,12000,45,35.00
MINE-02,REF-05,cobalt,5000,40,33.50
MINE-03,REF-03,nickel,80000,25,18.00
MINE-03,REF-05,nickel,20000,28,17.50
MINE-04,REF-04,graphite,150000,15,5.20
MINE-05,REF-03,manganese,40000,30,8.00
REF-01,COMP-01,lithium_hydroxide,30000,20,22.00
REF-01,COMP-02,lithium_hydroxide,25000,18,21.50
REF-01,COMP-07,lithium_hydroxide,20000,22,22.50
REF-02,COMP-01,cobalt_sulfate,5000,15,42.00
REF-02,COMP-02,cobalt_sulfate,4000,12,41.00
REF-02,COMP-07,cobalt_sulfate,3000,14,43.00
REF-03,COMP-01,nickel_sulfate,20000,18,28.00
REF-03,COMP-02,nickel_sulfate,15000,16,27.50
REF-04,COMP-03,processed_graphite,60000,10,8.50
REF-05,COMP-01,nickel_sulfate,8000,22,29.00
COMP-01,CELL-01,cathode,15000,14,65.00
COMP-01,CELL-02,cathode,12000,16,64.00
COMP-02,CELL-03,cathode,8000,12,63.00
COMP-02,CELL-04,cathode,6000,18,66.00
COMP-07,CELL-05,cathode,10000,10,60.00
COMP-07,CELL-06,cathode,5000,14,62.00
COMP-03,CELL-01,anode,20000,8,25.00
COMP-03,CELL-02,anode,15000,10,24.50
COMP-03,CELL-03,anode,10000,8,25.00
COMP-03,CELL-05,anode,12000,6,23.00
COMP-03,CELL-07,anode,5000,12,26.00
COMP-03,CELL-08,anode,8000,7,24.00
COMP-04,CELL-01,electrolyte,18000,7,15.00
COMP-04,CELL-02,electrolyte,12000,9,14.50
COMP-04,CELL-05,electrolyte,10000,5,13.00
COMP-08,CELL-03,electrolyte,6000,14,16.00
COMP-08,CELL-04,electrolyte,5000,16,16.50
COMP-05,CELL-01,separator,25000,12,8.00
COMP-05,CELL-02,separator,20000,14,7.80
COMP-05,CELL-03,separator,10000,12,8.20
COMP-05,CELL-04,separator,8000,16,8.50
COMP-05,CELL-05,separator,15000,10,7.50
COMP-05,CELL-06,separator,5000,14,8.00
COMP-05,CELL-07,separator,4000,18,8.80
COMP-06,CELL-08,separator,8000,8,7.00
CELL-01,PACK-01,battery_cells,50000,10,120.00
CELL-01,PACK-05,battery_cells,40000,5,115.00
CELL-02,PACK-01,battery_cells,30000,14,125.00
CELL-02,PACK-02,battery_cells,20000,12,128.00
CELL-02,PACK-04,battery_cells,15000,18,130.00
CELL-03,PACK-02,battery_cells,15000,10,135.00
CELL-04,PACK-01,battery_cells,20000,20,140.00
CELL-05,PACK-05,battery_cells,35000,3,110.00
CELL-06,PACK-03,battery_cells,12000,14,132.00
CELL-06,PACK-04,battery_cells,8000,16,134.00
CELL-07,PACK-03,battery_cells,10000,18,138.00
CELL-08,PACK-03,battery_cells,15000,8,118.00
PACK-01,OEM-01,battery_packs,80000,7,8500.00
PACK-02,OEM-02,battery_packs,25000,5,9200.00
PACK-03,OEM-03,battery_packs,30000,6,8800.00
PACK-04,OEM-04,battery_packs,18000,8,9000.00
PACK-05,OEM-01,battery_packs,30000,3,8200.00
